(u'just-eat.co.uk', 'justeat.ph.', 'justeat.ph', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.sex.', 'justeat.sex', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.si.', 'justeat.si', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'just-eat-delivery.com.', 'just-eat-delivery.com', 'combo', '184.168.221.40')
(u'just-eat.co.uk', 'just-eat-fundays.com.', 'just-eat-fundays.com', 'combo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.us.', 'justeat.us', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-voucher.com.', 'just-eat-voucher.com', 'combo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-orderwall.dk.', 'just-eat-orderwall.dk', 'combo', '165.160.15.20')
(u'just-eat.co.uk', 'justmeat.ca.', 'justmeat.ca', u'bits', '38.113.191.70')
(u'just-eat.co.uk', 'justeat.ae.', 'justeat.ae', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat.cat.', 'just-eat.cat', 'wrongTLD', '199.73.55.48')
(u'just-eat.co.uk', 'justeat.cz.', 'justeat.cz', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'just-eat-foodsupervisor.co.uk.', 'just-eat-foodsupervisor.co.uk', 'combo', '212.113.144.148')
(u'just-eat.co.uk', 'justeat.xyz.', 'justeat.xyz', u'typo', '72.52.4.121')
(u'just-eat.co.uk', 'justeat.uk.', 'justeat.uk', u'typo', '165.160.15.20')
(u'just-eat.co.uk', 'justeat.at.', 'justeat.at', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'justeat.porn.', 'justeat.porn', u'typo', '165.160.13.20')
(u'just-eat.co.uk', 'justmeat.org.', 'justmeat.org', u'bits', '184.168.221.44')
