(u'shutterfly.com', 'sahutterfly.com.', 'sahutterfly.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shuttferfly.com.', 'shuttferfly.com', u'typo', '52.86.163.26')
(u'shutterfly.com', 'shitterfly.com.', 'shitterfly.com', u'homo', '136.179.236.70')
(u'shutterfly.com', 'shtterfly.com.', 'shtterfly.com', u'typo', '23.22.216.234')
(u'shutterfly.com', 'shuttercfly.com.', 'shuttercfly.com', u'typo', '54.72.9.51')
(u'shutterfly.com', 'shut5erfly.com.', 'shut5erfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuyyerfly.com.', 'shuyyerfly.com', u'typo', '103.224.212.241')
(u'shutterfly.com', 'shutterfly.co.nz.', 'shutterfly.co.nz', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shutturfly.com.', 'shutturfly.com', u'homo', '136.179.236.70')
(u'shutterfly.com', 'shuitterfly.com.', 'shuitterfly.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'shyutterfly.com.', 'shyutterfly.com', u'typo', '52.52.18.176')
(u'shutterfly.com', 'shutterfly.nl.', 'shutterfly.nl', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shuttergfly.com.', 'shuttergfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttferfly.com.', 'shuttferfly.com', u'typo', '52.52.64.247')
(u'shutterfly.com', 'shu6terfly.com.', 'shu6terfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuyterfly.com.', 'shuyterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'chutterfly.com.', 'chutterfly.com', u'bits', '136.179.236.70')
(u'shutterfly.com', 'shutterflyy.com.', 'shutterflyy.com', u'typo', '103.224.182.252')
(u'shutterfly.com', 'shutterfly.info.', 'shutterfly.info', 'wrongTLD', '23.236.62.147')
(u'shutterfly.com', 'shutterfla.com.', 'shutterfla.com', u'typo', '184.168.221.66')
(u'shutterfly.com', 'sshutterfly.com.', 'sshutterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterfly.com.pr.', 'shutterfly.com.pr', 'wrongTLD', '136.179.236.70')
(u'shutterfly.com', 'shuttderfly.com.', 'shuttderfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'suhtterfly.com.', 'suhtterfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shutterflyn.com.', 'shutterflyn.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'shuttewrfly.com.', 'shuttewrfly.com', u'typo', '136.179.236.70')
(u'shutterfly.com', 'www-shutterfly.com.', 'www-shutterfly.com', 'combo', '136.179.236.70')
