(u'rabobank.com', 'rabobank.jp.', 'rabobank.jp', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.com.py.', 'rabobank.com.py', 'wrongTLD', '23.61.194.242')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'raobbank.nl.', 'raobbank.nl', u'typo', '185.182.56.12')
(u'rabobank.com', 'rabobank.se.', 'rabobank.se', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.lv.', 'rabobank.lv', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'raobank.com.', 'raobank.com', u'typo', '103.224.182.242')
(u'rabobank.com', 'rabobank.asia.', 'rabobank.asia', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rabobank.co.il.', 'rabobank.co.il', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.co.th.', 'rabobank.co.th', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.tw.', 'rabobank.tw', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.ml.', 'rabobank.ml', 'wrongTLD', '141.8.224.221')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.la.', 'rabobank.la', 'wrongTLD', '104.96.220.114')
(u'rabobank.com', 'rabobank.gg.', 'rabobank.gg', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank.net.cn.', 'rabobank.net.cn', 'wrongTLD', '23.61.194.162')
(u'rabobank.com', 'rabobank.ug.', 'rabobank.ug', 'wrongTLD', '23.15.7.144')
(u'rabobank.com', 'rabobank.mx.', 'rabobank.mx', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobnk.com.', 'rabobnk.com', u'typo', '199.59.242.150')
(u'rabobank.com', 'rabobank.com.ng.', 'rabobank.com.ng', 'wrongTLD', '173.222.148.49')
(u'rabobank.com', 'nfc2-rabobank.online.', 'nfc2-rabobank.online', 'combo', '104.28.9.114')
(u'rabobank.com', 'rabobank.af.', 'rabobank.af', 'wrongTLD', '104.96.220.114')
(u'rabobank.com', 'rabobank.kr.', 'rabobank.kr', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.name.', 'rabobank.name', 'wrongTLD', '104.80.88.121')
(u'rabobank.com', 'rebobank.nl.', 'rebobank.nl', u'homo', '213.186.33.5')
(u'rabobank.com', 'rabobank.co.in.', 'rabobank.co.in', 'wrongTLD', '104.80.88.75')
(u'rabobank.com', 'rabobamk.ml.', 'rabobamk.ml', u'homo', '195.20.51.181')
(u'rabobank.com', 'rabobank.me.', 'rabobank.me', 'wrongTLD', '173.222.148.35')
(u'rabobank.com', 'rabobank.com.ng.', 'rabobank.com.ng', 'wrongTLD', '23.59.190.25')
(u'rabobank.com', 'rabobank-amerstreek.nl.', 'rabobank-amerstreek.nl', 'combo', '77.94.250.180')
(u'rabobank.com', 'rabobank.me.', 'rabobank.me', 'wrongTLD', '23.15.7.96')
(u'rabobank.com', 'rabobank.mx.', 'rabobank.mx', 'wrongTLD', '23.59.190.16')
