(u'homedepot.com', 'homeeepot.com.', 'homeeepot.com', u'bits', '52.86.163.26')
(u'homedepot.com', 'homdepot.co.', 'homdepot.co', u'typo', '127.0.0.1')
(u'homedepot.com', 'homed3pot.com.', 'homed3pot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homedeput.com.', 'homedeput.com', u'homo', '23.22.216.234')
(u'homedepot.com', 'homesdepot.com.', 'homesdepot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'homedepot.adult.', 'homedepot.adult', 'wrongTLD', '165.160.15.20')
(u'homedepot.com', 'homederot.com.', 'homederot.com', u'bits', '52.86.163.26')
(u'homedepot.com', 'homedewpot.com.', 'homedewpot.com', u'typo', '52.52.18.176')
(u'homedepot.com', 'home3depot.com.', 'home3depot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedepot.cr.', 'homedepot.cr', 'wrongTLD', '207.11.34.219')
(u'homedepot.com', 'find-homedepot.com.', 'find-homedepot.com', 'combo', '103.224.212.222')
(u'homedepot.com', 'homedepotr.com.', 'homedepotr.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homexdepot.com.', 'homexdepot.com', u'typo', '52.86.163.26')
(u'homedepot.com', 'homedopot.com.', 'homedopot.com', u'homo', '23.22.216.234')
(u'homedepot.com', 'homrdepot.ca.', 'homrdepot.ca', u'typo', '208.73.210.202')
(u'homedepot.com', 'hamedepot.com.', 'hamedepot.com', u'homo', '23.22.216.234')
(u'homedepot.com', 'homedepot.se.', 'homedepot.se', 'wrongTLD', '207.11.34.219')
(u'homedepot.com', 'hom4edepot.com.', 'hom4edepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'homsedepot.com.', 'homsedepot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'home-depot.fr.', 'home-depot.fr', u'typo', '213.186.33.5')
(u'homedepot.com', 'homed4pot.com.', 'homed4pot.com', u'typo', '23.22.216.234')
(u'homedepot.com', 'homwedepot.com.', 'homwedepot.com', u'typo', '52.52.64.247')
(u'homedepot.com', 'hmedepot.com.', 'hmedepot.com', u'typo', '23.22.216.234')
